country,chip_value,multiplier
PAN,6.011281091310307,2.169478418676039
CHE,5.96336722430647,2.1521862476993063
DEU,5.426844472855982,1.9585545554327242
KOR,4.269613792181001,1.5409086411893578
ARG,4.058273503857975,1.4646356824723938
SWE,3.7577971595869117,1.3561934162870588
GBR,3.7013715345789597,1.335829341831779
USA,3.5603776164525427,1.2849444708877116
FIN,3.525076364840918,1.2722042076459241
DOM,3.1795577851148393,1.1475061456885634
SVK,3.026870948147125,1.0924012865768828
HUN,2.353098593940232,0.8492360511888
TUR,2.3248268267429233,0.8390327371429708
MUS,2.276278993583436,0.8215117670347446
ECU,2.2343938543897983,0.8063953710180627
JOR,2.1457795560770396,0.7744143664941592
IDN,1.9145148506270508,0.6909506621931749
MEX,1.8943858991970712,0.6836860999385423
CHL,1.8684469743186356,0.6743247114303967
PER,1.790906584254477,0.6463402934228791
CRI,1.686594449540189,0.6086939212717232
MNG,1.6619208448879736,0.5997891883219855
BRA,1.6399458777929228,0.5918583968418224
ISL,1.6178588583011904,0.5838871655198571
URY,1.6030638814241234,0.5785476409572798
SEN,1.520525400875701,0.5487594062132807
PRT,1.5081752826084618,0.5443022339995901
PHL,1.4849665698226555,0.5359261822480188
PRY,1.3126644860857388,0.47374215749820087
SLV,1.2852267354955238,0.4638398410271685
EGY,1.2742639523672297,0.45988335969744987
MDA,1.2588064651574526,0.45430473437629354
LKA,1.1965409500591453,0.4318330367162395
THA,1.1871244101487937,0.4284345963831729
VNM,1.1663390770654631,0.420933145217553
HND,1.1219577574743573,0.40491587475844015
COL,1.025390949670885,0.37006480020248317
IND,0.8667475213615902,0.3128102002671517
BGD,0.8491947812357707,0.3064753957033388
BWA,0.8048890681096678,0.29048541170640346
RWA,0.31221452409033923,0.11267858909315413
ZMB,0.2917510943491494,0.10529331322246153
GHA,0.19892178026897953,0.07179110454874767
SDN,0.18756919457069665,0.0676939430128817
MLI,0.17186600371660152,0.06202664295739812
BOL,0.1444755444066417,0.05214139396505241
