year,chip_value_10,n_countries_10,chip_value_11,n_countries_11,abs_diff,pct_diff
2000,2.0218104655209204,5,2.781388870808785,5,0.7595784052878645,37.569219184556886
2001,2.0121303922210654,7,2.661270755656871,7,0.6491403634358055,32.26134677679909
2002,1.5966412384075008,11,1.6293208174279705,11,0.032679579020469696,2.0467703222462483
2003,3.0269498612918215,11,3.035453284998339,11,0.008503423706517577,0.28092383740008636
2004,3.0378102164797327,9,3.0556672486943803,9,0.017857032214647628,0.5878258002351663
2005,3.1079152542960697,13,2.9855495733733597,13,-0.12236568092271005,-3.937227077011319
2006,3.0582191411280935,15,2.949276484720103,15,-0.1089426564079905,-3.5622907117050002
2007,2.981605568250666,17,2.8904309654800593,17,-0.09117460277060685,-3.0579028876747025
2008,2.917091029794808,19,3.029010580745925,19,0.11191955095111705,3.8366835250591964
2009,2.9452773183456213,22,3.11195284118275,22,0.16667552283712883,5.659077391420357
2010,2.8563615812756558,50,2.9537908001888136,50,0.09742921891315781,3.4109553759522897
2011,2.7828920837351037,29,2.93003792859205,29,0.14714584485694626,5.287515305280975
2012,2.6327268127367627,36,2.7691046826950556,36,0.13637786995829293,5.180099556798523
2013,2.509713154761993,41,2.637297168633788,41,0.12758401387179497,5.0836094009275055
2014,2.7202387737652676,64,2.8442656800323745,64,0.12402690626710688,4.559412484788341
2015,2.5375034826805405,44,2.6285337218261806,44,0.09103023914564012,3.587393663376516
2016,2.7215035006525996,44,2.785790066016161,44,0.06428656536356137,2.362170959844286
2017,2.648355263090841,51,2.7606846565295524,51,0.11232939343871129,4.241477531515691
2018,2.570191937102982,64,2.69189784382338,64,0.12170590672039783,4.73528474521556
2019,2.301017026464818,54,2.4623161661973043,54,0.1612991397324861,7.0099063969248006
