country,chip_value,multiplier,scheme
CHE,6.390244343132656,2.3857457358101533,gdp_weighted
IRL,5.375114106513696,2.0067551208568624,gdp_weighted
AUT,5.131517221108293,1.9158102055443322,gdp_weighted
DEU,4.993958032831176,1.8644536017540059,gdp_weighted
NOR,4.897842681738478,1.8285697173980457,gdp_weighted
KOR,4.543424546690143,1.6962505901499565,gdp_weighted
ITA,4.3396484781161675,1.6201724528275592,gdp_weighted
FRA,4.138654897568113,1.5451331347718955,gdp_weighted
LUX,3.922798116632744,1.4645447617755343,gdp_weighted
SWE,3.8648753379287615,1.4429197635940785,gdp_weighted
SVN,3.8338546938715017,1.4313384585128064,gdp_weighted
EST,3.7028528262218257,1.3824299770297388,gdp_weighted
USA,3.64449947563165,1.3606442283376163,gdp_weighted
ARG,3.6010172253575847,1.3444104839603352,gdp_weighted
HUN,3.5755450145171883,1.3349006412796809,gdp_weighted
NLD,3.5487595805544934,1.3249005174304265,gdp_weighted
CZE,3.3897621052467435,1.2655401035946563,gdp_weighted
GBR,3.377768563306455,1.2610624122882113,gdp_weighted
SVK,3.3086311776065274,1.2352505318245288,gdp_weighted
LVA,3.1369029923421503,1.171137211000859,gdp_weighted
PAN,3.1314214708925716,1.169090729564177,gdp_weighted
RUS,2.9009246629925203,1.0830366216087648,gdp_weighted
LTU,2.669184894676526,0.9965184644945277,gdp_weighted
CYP,2.648333326871587,0.9887337012985711,gdp_weighted
DOM,2.614243590064946,0.9760065754088175,gdp_weighted
ISR,2.5827051851839293,0.9642319685363901,gdp_weighted
FIN,2.5058604613947937,0.9355426161024009,gdp_weighted
BEL,2.3933470062574966,0.8935366330129525,gdp_weighted
SRB,2.353609536701187,0.8787009720498888,gdp_weighted
MDV,2.321751910772639,0.8668071865964817,gdp_weighted
JOR,2.313879202347943,0.8638679749568391,gdp_weighted
ALB,2.239527678248051,0.836109438342675,gdp_weighted
MUS,2.2181007019964065,0.8281098510845443,gdp_weighted
ECU,2.199017707184827,0.8209853702269165,gdp_weighted
TUR,2.176929784854296,0.8127390241275532,gdp_weighted
IRQ,2.1377675677656987,0.7981181289931755,gdp_weighted
SWZ,2.029228643254499,0.7575960045770262,gdp_weighted
IDN,1.930291617455794,0.7206586709261369,gdp_weighted
ISL,1.9243452449381615,0.7184386411251285,gdp_weighted
MEX,1.854105862964128,0.6922153393181208,gdp_weighted
CRI,1.7651843077564813,0.6590172001286181,gdp_weighted
PER,1.7288116428813836,0.6454377616179341,gdp_weighted
URY,1.7240382131113727,0.643655640448932,gdp_weighted
ESP,1.6096694061829053,0.6009569768630063,gdp_weighted
PRT,1.570373138539353,0.5862860350445436,gdp_weighted
BRA,1.5655502025978725,0.5844854311491953,gdp_weighted
MNG,1.540499630687901,0.5751330039328485,gdp_weighted
MLT,1.3950707279616807,0.5208383062793088,gdp_weighted
PRY,1.276133184617891,0.4764339421230114,gdp_weighted
PHL,1.2745477954278763,0.47584204996731605,gdp_weighted
BGR,1.266403569132973,0.4728014693398445,gdp_weighted
UKR,1.2607630293550494,0.4706956197040148,gdp_weighted
SEN,1.2580522054657286,0.46968355565963604,gdp_weighted
MDA,1.2328188633972512,0.46026289269159104,gdp_weighted
TUN,1.2184949528885978,0.45491517723954095,gdp_weighted
LKA,1.1986088467076457,0.4474908612861049,gdp_weighted
COL,1.1625671044603478,0.4340349700461923,gdp_weighted
CHL,1.1485401210764374,0.4287981099204277,gdp_weighted
BOL,1.0775922894160321,0.4023103141868124,gdp_weighted
GHA,1.0588000191741727,0.395294372982015,gdp_weighted
VNM,1.0172610908465782,0.3797861520429859,gdp_weighted
GRC,0.9637442625986795,0.3598060796184128,gdp_weighted
THA,0.9604230017119629,0.35856611388744475,gdp_weighted
BGD,0.8377065432907301,0.3127509225314508,gdp_weighted
IND,0.8309636180841069,0.3102335062645946,gdp_weighted
HND,0.7958705781695297,0.2971318053221585,gdp_weighted
BWA,0.7499586329286227,0.27999095409649993,gdp_weighted
ZMB,0.7419249637106724,0.27699164905423945,gdp_weighted
MMR,0.7064620553915316,0.2637518607521319,gdp_weighted
BLZ,0.6890945105711079,0.2572678291921579,gdp_weighted
NAM,0.6456627889957708,0.24105294929345614,gdp_weighted
SLV,0.5773547937804886,0.2155507150194675,gdp_weighted
AGO,0.4568454158393397,0.17055951920436532,gdp_weighted
ZAF,0.4220202665318056,0.1575578330405665,gdp_weighted
LSO,0.39675049810034035,0.1481235705862573,gdp_weighted
ETH,0.33856763637950676,0.12640147252644154,gdp_weighted
RWA,0.3135361470529311,0.11705616963735363,gdp_weighted
KEN,0.25876909715390317,0.09660933713087472,gdp_weighted
SDN,0.23808335760420282,0.08888648456486721,gdp_weighted
GMB,0.20816505197347868,0.07771672856674616,gdp_weighted
UGA,0.16887360431215226,0.06304758624943316,gdp_weighted
TZA,0.1534977887643539,0.05730715060909885,gdp_weighted
MLI,0.14649039442906941,0.054690996944722736,gdp_weighted
PAK,0.13274065951288938,0.04955764527874943,gdp_weighted
EGY,0.10126301940511162,0.037805724440041294,gdp_weighted
